Customer ID,Customer Name,Recency,Frequency,Monetary,Avg_Item_Price,Unique_Product_Count,Fav_Product,City,State,Region,Furniture_Count,Office Supplies_Count,Technology_Count,First Class_Count,Same Day_Count,Second Class_Count,Standard Class_Count,Consumer_Count,Corporate_Count,Home Office_Count,Cluster
AA-10315,Alex Avila,184,5,5563.5599999999995,505.7781818181818,11,"Acco Banker's Clasps, 5 3/4""-Long",Round Rock,Texas,Central,1,8,2,1,0,0,10,11,0,0,0
AA-10375,Allen Armold,19,9,1056.39,70.426,15,"ACCOHIDE 3-Ring Binder, Blue, 1""",Atlanta,Georgia,East,1,11,3,4,0,3,8,15,0,0,2
AA-10480,Andrew Allen,259,4,1790.512,149.20933333333332,12,"Carina 42""Hx23 3/4""W Media Storage Unit",Detroit,Michigan,Central,2,8,2,0,1,0,11,12,0,0,0
AA-10645,Anna Andreadi,55,6,5086.935,282.6075,18,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Georgetown,California,East,8,8,2,7,0,0,11,18,0,0,0
AB-10015,Aaron Bergman,415,3,886.156,147.69266666666667,6,Akro Stacking Bins,Seattle,Washington,Central,2,3,1,5,0,0,1,6,0,0,1
AB-10060,Adam Bellavance,54,8,7755.62,430.86777777777775,17,Xerox 1881,New York City,New York,East,3,12,3,8,0,0,10,0,0,18,2
AB-10105,Adrian Barton,41,10,14473.571,723.67855,20,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Houston,Texas,Central,3,11,6,4,0,0,16,20,0,0,2
AB-10150,Aimee Bixby,41,5,966.71,80.55916666666667,12,Acme Elite Stainless Steel Scissors,Yonkers,New York,Central,1,9,2,0,0,10,2,12,0,0,0
AB-10165,Alan Barnes,25,8,1113.838,79.55985714285714,14,Belkin Standard 104 key USB Keyboard,Los Angeles,California,West,2,10,2,3,0,1,10,14,0,0,2
AB-10255,Alejandro Ballentine,166,9,914.5319999999999,65.32371428571427,14,Acme Elite Stainless Steel Scissors,Carlsbad,New Mexico,West,1,9,4,1,0,1,12,0,0,14,2
AB-10600,Ann Blume,50,4,1515.862,189.48275,8,Adtran 1202752G1,Tucson,Arizona,West,2,3,3,6,0,0,2,0,8,0,0
AC-10420,Alyssa Crouse,232,3,925.8,185.16,5,Fellowes Bankers Box Stor/Drawer Steel Plus,Houston,California,Central,1,4,0,0,0,2,3,0,5,0,0
AC-10450,Amy Cox,11,7,5527.846,614.205111111111,9,Acco Suede Grain Vinyl Round Ring Binder,New York City,Florida,South,0,7,2,4,0,1,4,9,0,0,2
AC-10615,Ann Chong,6,5,2537.686,140.98255555555556,18,"ACCOHIDE 3-Ring Binder, Blue, 1""",New York City,New York,East,4,10,4,0,1,0,17,0,18,0,0
AC-10660,Anna Chung,282,5,657.316,109.55266666666667,6,Fellowes Officeware Wire Shelving,Parma,California,Central,1,3,2,2,0,2,2,6,0,0,0
AD-10180,Alan Dominguez,29,8,6106.879999999999,508.9066666666666,12,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Great Falls,Montana,East,3,7,2,0,0,3,9,0,0,12,2
AF-10870,Art Ferguson,41,7,2052.908,128.30675,16,AT&T 841000 Phone,Passaic,New Jersey,East,2,10,4,0,0,0,16,16,0,0,0
AF-10885,Art Foster,415,4,861.5649999999999,123.08071428571428,7,Acco Perma 4000 Stacking Storage Drawers,Louisville,Ohio,East,2,4,1,0,0,4,3,7,0,0,1
AG-10270,Alejandro Grove,278,5,2582.898,184.4927142857143,14,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Omaha,Nebraska,Central,2,9,3,2,0,2,10,14,0,0,0
AG-10300,Aleksandra Gannaway,118,4,367.548,73.5096,5,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Los Angeles,California,West,2,3,0,1,0,0,4,0,5,0,0
AG-10330,Alex Grayson,8,5,660.972,73.44133333333333,9,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Houston,Texas,Central,1,6,2,1,0,5,3,9,0,0,0
AG-10390,Allen Goldenen,114,5,200.945,25.118125,8,Acco 3-Hole Punch,Cincinnati,Ohio,East,1,7,0,3,1,2,2,8,0,0,0
AG-10495,Andrew Gjertsen,78,7,1419.247,101.37478571428572,14,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Philadelphia,Pennsylvania,Central,2,10,2,1,2,2,9,0,14,0,0
AG-10525,Andy Gerbode,844,4,1455.038,161.6708888888889,9,AT&T 1070 Corded Phone,New York City,New York,East,1,5,3,0,0,0,9,0,9,0,1
